2018-03-27 11:07:16,186 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:07:45,174 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:07:45,196 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-27 11:07:45,200 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:07:45,201 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:08:44,176 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-27 11:08:44,873 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Currency:Currency:0.0.1-SNAPSHOT @ /home/indic/Documents/workspace_git27/Currency/pom.xml.
2018-03-27 11:08:46,359 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Currency/src/main/java
2018-03-27 11:08:46,360 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Currency/src/main/resources
2018-03-27 11:08:46,361 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Currency/src/test/java
2018-03-27 11:08:48,813 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Currency
2018-03-27 11:08:48,841 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2018-03-27 11:08:56,631 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:08:56,641 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:08:56,702 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:08:56,703 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:08:56,704 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Currency
2018-03-27 11:08:56,704 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Currency
2018-03-27 11:08:56,716 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:10:27,465 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:10:27,574 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:10:27,583 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:10:27,583 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:11:38,006 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:11:38,008 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:11:38,011 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
